"Package","Function","Species_Numbers"
"ape","rlineage",62
"ape","rlineage",6
"ape","rlineage",18
"ape","rlineage",8
"ape","rlineage",57
"ape","rlineage",187
"ape","rlineage",32
"ape","rlineage",4
"ape","rlineage",42
"ape","rlineage",34
"ape","rbdtree",29
"ape","rbdtree",35
"ape","rbdtree",65
"ape","rbdtree",22
"ape","rbdtree",48
"ape","rbdtree",135
"ape","rbdtree",26
"ape","rbdtree",45
"ape","rbdtree",27
"ape","rbdtree",47
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"ape","rphylo",50
"TreeSim","sim.bd.taxa",74
"TreeSim","sim.bd.taxa",98
"TreeSim","sim.bd.taxa",87
"TreeSim","sim.bd.taxa",77
"TreeSim","sim.bd.taxa",71
"TreeSim","sim.bd.taxa",98
"TreeSim","sim.bd.taxa",94
"TreeSim","sim.bd.taxa",101
"TreeSim","sim.bd.taxa",85
"TreeSim","sim.bd.taxa",86
"TreeSim","sim.rateshift.taxa",1364
"TreeSim","sim.rateshift.taxa",1689
"TreeSim","sim.rateshift.taxa",237
"TreeSim","sim.rateshift.taxa",654
"TreeSim","sim.rateshift.taxa",1107
"TreeSim","sim.rateshift.taxa",1589
"TreeSim","sim.rateshift.taxa",828
"TreeSim","sim.rateshift.taxa",435
"TreeSim","sim.rateshift.taxa",2003
"TreeSim","sim.rateshift.taxa",2105
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",77
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"phytools","pbtree",84
"geiger","sim.bdtree",79
"geiger","sim.bdtree",84
"geiger","sim.bdtree",97
"geiger","sim.bdtree",72
"geiger","sim.bdtree",80
"geiger","sim.bdtree",95
"geiger","sim.bdtree",98
"geiger","sim.bdtree",94
"geiger","sim.bdtree",81
"geiger","sim.bdtree",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.taxa",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"TreeSimGM","sim.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.age",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.agephylo",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"diversitree","make.bd.extinct",93
"DDD","dd_KI_sim",4
"DDD","dd_KI_sim",9
"DDD","dd_KI_sim",6
"DDD","dd_KI_sim",5
"DDD","dd_KI_sim",4
"DDD","dd_KI_sim",13
"DDD","dd_KI_sim",3
"DDD","dd_KI_sim",6
"DDD","dd_KI_sim",2
"DDD","dd_KI_sim",8
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_MS_sim",2
"DDD","dd_sim",2
"DDD","dd_sim",3
"DDD","dd_sim",2
"DDD","dd_sim",2
"DDD","dd_sim",2
"DDD","dd_sim",2
"DDD","dd_sim",3
"DDD","dd_sim",2
"DDD","dd_sim",2
"DDD","dd_sim",4
"DDD","dd_SR_sim",4
"DDD","dd_SR_sim",3
"DDD","dd_SR_sim",3
"DDD","dd_SR_sim",3
"DDD","dd_SR_sim",3
"DDD","dd_SR_sim",2
"DDD","dd_SR_sim",4
"DDD","dd_SR_sim",4
"DDD","dd_SR_sim",3
"DDD","dd_SR_sim",3
"DDD","td_sim",17
"DDD","td_sim",5
"DDD","td_sim",25
"DDD","td_sim",4
"DDD","td_sim",10
"DDD","td_sim",17
"DDD","td_sim",9
"DDD","td_sim",8
"DDD","td_sim",25
"DDD","td_sim",8
